Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.23,-.30,-.06,-.16,-.18,-.26,-.23,-.32,-.43,-.40,-.28,***,***,-.19,-.20,-.33
1881,-.30,-.21,-.03,.01,.04,-.32,.08,-.04,-.26,-.43,-.36,-.22,-.17,-.19,-.30,.01,-.09,-.35
1882,.26,.21,.02,-.32,-.24,-.30,-.28,-.15,-.24,-.53,-.33,-.69,-.21,-.18,.08,-.18,-.24,-.37
1883,-.58,-.66,-.16,-.30,-.25,-.11,-.05,-.22,-.34,-.16,-.44,-.15,-.28,-.33,-.64,-.24,-.13,-.31
1884,-.16,-.11,-.64,-.59,-.36,-.41,-.44,-.51,-.44,-.44,-.57,-.47,-.43,-.40,-.14,-.53,-.45,-.49
1885,-1.01,-.45,-.23,-.48,-.59,-.44,-.34,-.41,-.40,-.37,-.38,-.11,-.43,-.46,-.64,-.43,-.40,-.38
1886,-.74,-.83,-.72,-.37,-.34,-.37,-.14,-.43,-.33,-.31,-.39,-.22,-.43,-.42,-.56,-.47,-.32,-.35
1887,-1.08,-.70,-.44,-.38,-.25,-.20,-.24,-.54,-.21,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.33,-.32
1888,-.48,-.61,-.64,-.22,-.15,-.03,-.01,-.21,-.20,-.04,-.01,-.24,-.24,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.03,-.07,-.09,-.21,-.31,-.42,-.62,-.55,-.18,-.15,-.08,.04,-.12,-.45
1890,-.63,-.57,-.47,-.25,-.36,-.16,-.24,-.39,-.35,-.10,-.63,-.47,-.39,-.39,-.58,-.36,-.26,-.36
1891,-.47,-.69,-.17,-.36,-.16,-.13,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.50,-.16,-.68,-.45,-.24,-.06,-.38,-.33,-.20,-.28,-.83,-.66,-.40,-.35,-.23,-.46,-.26,-.44
1893,-1.52,-.97,-.33,-.30,-.43,-.19,-.14,-.33,-.29,-.28,-.34,-.60,-.48,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.42,-.22,-.54,-.26,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.81,-.50,-.19,-.30,-.21,-.19,-.27,-.06,-.10,-.13,-.23,-.31,-.32,-.62,-.33,-.22,-.10
